Nama Hakim,Terdakwa,Jumlah Perkara
YUDI NOVIANDRI,102,81
SAMUEL GINTING,93,47
BAYU SOHO RAHARDJO,87,64
HENDRA HALOMOAN,82,71
AGUNG SUTOMO THOBA,73,45
MUHAMMAD ZULQARNAIN,71,54
IRIATY KHAIRUL UMMAH,67,49
JOHANIS DAIRO MALO,65,37
EGA SHAKTIANA,64,38
SONI NUGRAHA,64,53
HENDRO WICAKSONO,61,43
RUDITA SETYA HERMAWAN,60,50
DEKA DIANA,60,38
PUTU AYU SUDARIASIH,60,50
JEMMY TANJUNG UTAMA,57,34
IDA BAGUS OKA SAPUTRA MANUABA,56,46
CIPTO HOSARI PARSAORAN NABABAN,56,50
EDO JUNIANSYAH,56,42
YANDRI RONI,56,38
ELVIN ADRIAN,54,42
SAHAT. S.P. BANJARNAHOR,54,22
ARIEF BOEDIONO,50,41
OLOAN EXODUS HUTABARAT,49,28
ARYA RAGATNATA,48,43
ARMANSYAH SIREGAR,48,28
ELIYAS EKO SETYO,45,42
MEIRINA DEWI SETIAWATI,44,28
KURNIA MUSTIKAWATI,42,36
HENDRI IRAWAN,42,25
IWAN WARDHANA,42,36
EKA PRASETYA BUDI DHARMA,42,35
H. BAWONO EFFENDI,39,26
JOKO WALUYO,39,28
ANDRY SIMBOLON,38,27
DIAH ASTUTI MIFTAFIATUN,37,22
ARI QURNIAWAN,37,32
SILVI ARIANI,37,36
WIJAWIYATA,36,30
BAYU AGUNG KURNIAWAN,36,19
BRELLY YUNIAR DIEN WARDI HAKORI,36,26
ERSLAN ABDILLAH,35,29
RATNA DAMAYANTI WISUDHA,35,20
ACHMAD YULIANDI ERRIA PUTRA,35,14
REZA HIMAWAN PRATAMA,34,31
WAHYUNI PRASETYANINGSIH,34,24
ERIF ERLANGGA,34,22
HAGA SENTOSA LASE,33,19
PHILLIP MARK SOENTPIET,33,26
ESTAFANA PURWANTO,32,27
I WAYAN GEDE RUMEGA,32,23
GUNTUR PAMBUDI WIJAYA,32,20
I WAYAN EKA MARIARTA,32,22
ENAN SUGIARTO,31,26
MUHAMAD IMAN,31,21
ALEX TAHI MANGATUR HAMONANGAN PASARIBU,31,20
MATEUS SUKUSNO AJI,31,28
BAMBANG CONDRO WASKITO,31,24
LEO SUKARNO,30,22
"ROSIHAN LUTHFI,",30,26
FERDINALDO HENDRAYUL BONODIKUN,30,26
SRI SULASTRI,29,18
ACHMAD PETEN SILI,28,23
ERIANTO SIAGIAN,28,23
ANNISA BRIDGESTIRANA,28,20
NURHAYATI NASUTION,28,24
MAULANA ABDILLAH,28,23
AHMAD HUSAINI,28,27
RUSLAN HENDRA IRAWAN,28,15
FAHREN,28,19
CHRISTIAN WIBOWO,27,25
HARIANTO MAMONTO,27,15
RENALDO MEIJI HASOLOAN TOBING,27,15
GUNTUR NURJADI,27,19
ANTENG SUPRIYO,27,20
I GEDE PUTU SAPTAWAN,27,18
KELIK TRIMARGO,26,25
SUGIANNUR,26,21
YAKOBUS MANU,26,13
CHITTA CAHYANINGTYAS,26,18
WASIS PRIYANTO,25,17
OMORI ROTAMA SITORUS,25,17
BEN RONALD P. SITUMORANG,25,18
JOHN PAUL MANGUNSONG,25,18
RONALD SALNOFRI BYA,25,19
RR. DIAH POERNOMOJEKTI,25,18
BAMBANG SETYAWAN,25,23
ARIEF KADARMO,25,15
AGUS SAFUAN AMIJAYA,25,15
FAISAL,24,16
RADEN NARENDRA MOHNI ISWOYOKUSUMO,23,17
MASKUR HIDAYAT,23,15
NUR KHOLIS,23,18
RICKY FARDINAND,23,18
EKA PRASETYA PRATAMA,23,12
RUDI ANANTA WIJAYA,23,19
I MADE YULIADA,23,18
AMINUDDIN,22,17
RAKHMAT FANDIKA TIMUR,22,3
HENDRI TOBING,22,15
DWIYANTO,22,19
MUH. DJAUHAR SETYADI,22,21
FEBRIANO HERMADY,22,17
HENU SISTHA ADITYA,21,18
PUTUT TRI SUNARKO,21,18
ELLEN YOLANDA SINAGA,21,13
M. SYAFRIZAL FAKHMI,21,18
BUNGARAN PAKPAHAN,21,7
LIA HERAWATI,21,18
HERIYANTI,21,12
DERMAN NABABAN,21,12
ALFON,21,21
RIO DESTRADO,21,20
ANDRI NATANAEL PARTOGI,21,17
I NYOMAN WIGUNA,21,21
RICKI ZULKARNAEN,20,16
RIO BARTEN T.H,20,16
RINI MASYITHAH,20,19
LENNY MEGAWATY NAPITUPULU,20,9
AGUNG IRIAWAN,20,14
SRI PENI YUDAWATI,20,19
GALANG SYAFTA ARSITAMA,20,14
LANORA SIREGAR,20,12
EFRATA HAPPY TARIGAN,19,16
HENDAH KARMILA DEWI,19,14
PRANSIS SINAGA,19,19
INTAN PANJI NASARANI,19,14
BEAUTY D.E. SIMATAUW,19,15
HERMAN SIREGAR,19,12
ABDUL AZIZ,19,16
ORPA MARTHINA,19,12
DESBERTUA NAIBAHO,19,14
SETYO YOGA SISWANTORO,19,16
YUDI EKA PUTRA,19,16
IMELDA HERAWATI DEWI P,19,15
MUHAMMAD RAMDES,18,12
A.A GD AGUNG PARNATA,18,9
NANANG ZULKARNAIN FAISAL,18,16
CAROLINA DORCAS YULIANA AWI,18,12
HENDRA NOVRYANDIE,18,16
JIFLY Z. ADAM,18,10
BENNY ARISANDY,18,13
SRI REJEKI MARSINTA,18,11
HARIES SUHARMAN LUBIS,18,8
MUHAMMAD HANAFI INSYA,17,16
ASLAN AININ,17,15
INDRA LESMANA KARIM,17,13
FERDI,17,14
LEDIS MERIANA BAKARA,17,12
ROBBY ALAMSYAH,17,12
DARWANTO,17,15
AGUS SETIAWAN,17,9
ASMA FANDUN,17,11
SALMAN ALFARASI,17,17
SAPTONO,17,13
UNGGUL TRI ESTHI MULJONO,17,13
LILA SARI,17,12
FITRA RENALDO,17,14
IRWAN EFENDI,17,14
I MADE GEDE KARIANA,17,15
RADEN RORO ANDY NURVITA,16,13
SUBIAR TEGUH WIJAYA,16,12
RAHADIAN NUR,16,12
WISNU KRISTIYANTO,16,12
FEBRI PURNAMAVITA,16,7
RACHMAWATY,16,12
AKHMAD,16,3
ACHMAD SYARIPUDIN,16,11
ZIA UL JANNAH IDRIS,16,13
TUTY HARYATI,16,11
ACHMAD SOBERI,16,9
PANDU DEWANTO,16,10
GATOT ARDIAN AGUSTRIONO,15,13
ANDI HENDRAWAN,15,12
FRANSISCUS YOHANIS BABTHISTA,15,11
SALMAN ALFARISI,15,8
CHANDRA GAUTAMA,15,12
MADE ADICANDRA PURNAWAN,15,11
ERIKA SARI EMSAH GINTING,15,11
IDA AYU SRI ADRIYANTHI ASTUTI WIDJA,15,9
NI KADEK SUSANTIANI,15,7
BUDI SANTOSO,15,6
FAJAR KUSUMA AJI,15,11
CHRISTO EVERT NATANAEL SITORUS,15,10
ACHMAD VIRZA RUDIANSYAH,14,14
Achmad Satibi,14,8
ACHMAD UKAYAT,14,11
ABD. KADIR,14,14
TOTOK YANUARTO,14,9
FAKHRUDIN SAID NGAJI,14,6
ANDRI WAHYUDI,14,14
MARTUA SAGALA,14,11
ANRY WIDYO LAKSONO,14,14
OCTO BERMANTIKO DWI LAKSONO,14,14
TIDAK LENGKAP,14,14
AGUS ARDIANTO,13,13
MUHAMMAD RIFQI,13,11
MUKHLASSUDDIN,13,11
ERSIN,13,8
IKSANDIAJI YURIS FIRMANSAH,13,7
EKO SETIAWAN,13,8
JENNY TULAK,13,12
AKHMAD FIJIARSYAH JOKO SUTRISNO,13,15
DWI SUGIANTO,13,5
ALFONSUS NAHAK,13,10
MORGAN SIMANJUNTAK,13,13
AGUS AKHYUDI,13,11
"PUTU ENDRU SONATA,",13,9
ZAUFI AMRI,13,10
R. AGUNG ARIBOWO,12,8
HANRY ICHFAN ADITYO,12,11
MAHARANI DEBORA MANULLANG,12,11
RATRININGTIAS ARIANI,12,10
MAKMUR PAKPAHAN,12,5
DANIEL ELISA SETIAWAN SIMANJUNTAL,12,6
HANDY REFORMEN KACARIBU,12,10
RUDITO SUROTOMO,12,8
ROMI SINATRA,12,8
RELSON MULYADI NABABAN,12,8
DEDE HALIM,12,12
BAMBANG EKAPUTRA,12,6
WIMMI D. SIMARMATA,12,8
YANTO ARIYANTO,12,7
RIZKY MUBARAK NAZARIO,12,6
TYAS LISTIANI,12,6
ARTUR PANDE SIMBOLON,12,2
HERU KARYONO,12,5
GRACE MEILANIE P.D.T. PASAU,11,11
FATCHU ROCHMAN,11,11
NALFRIJHON,11,8
DODIK SETYO WIJAYANTO,11,9
PAUL MARPAUNG,11,10
MOCH. TAUFIK TATAS PRIHYANTONO,11,8
DAMERIA FRISELLA SIMANJUNTAK,11,9
H. SYAHBUDDIN,11,11
DOMINGGUS SILABAN,11,10
INDRA JOSEPH MARPAUNG,11,8
RAIS TORODJI,11,6
DEDY MUCHTI NUGROHO,11,10
"HARIES SUHARMAN LUBIS,",11,8
HARYUNING RESPANTI,11,11
MARJANI ELDIARTI,11,10
JONI MAULUDDIN SAPUTRA,11,10
DONOVAN AKBAR KUSUMO BHUWONO,11,10
IMAN BUDI PUTRA NOOR,11,6
TUTY BUDHI UTAMI,11,7
DIAH ASTUTI,11,9
R.A. ASRININGRUM KUSUMAWARDHANI,11,11
CATUR BAYU SULISTIYO,11,9
RENDRA YOZAR DHARMA PUTRA,11,5
ERFAN AFANDI,11,7
ANDY EFFENDI RUSDI,10,5
